,Cutstate
0,"[251, 273, 281, 298, 300, 307, 313, 325, 340]"
1,"[235, 248, 272, 273, 302, 326, 346]"
2,"[244, 268, 286, 294, 313, 339]"
3,"[252, 287, 316, 345, 360, 367]"
4,"[194, 214, 229, 249, 278, 279, 298, 305]"
5,"[238, 257, 268, 285, 311, 335, 356, 365]"
6,"[280, 293, 305, 306, 333, 346, 376]"
7,"[268, 299, 327, 339, 366, 394]"
8,"[299, 330, 341, 345, 361, 368, 398]"
9,"[284, 297, 329, 331, 359, 380, 381, 393]"
10,"[257, 258, 284, 287, 313, 342, 356]"
11,"[304, 310, 335, 336, 341, 348, 361, 370]"
12,"[349, 357, 361, 366, 376, 391, 417, 427]"
13,"[307, 313, 329, 330, 331, 352, 357, 365, 384, 392, 398]"
14,"[283, 294, 309, 324, 325, 340, 357, 367, 375]"
15,"[278, 295, 317, 321, 322, 354, 359]"
16,"[276, 288, 291, 303, 327, 354, 373, 389]"
17,"[295, 303, 306, 324, 331, 338, 356, 362, 368, 369]"
18,"[316, 336, 357, 366, 384, 406, 413, 414, 420]"
19,"[233, 245, 264, 289, 310, 327]"
20,"[225, 229, 247, 272, 279, 296, 309, 321]"
21,"[247, 259, 270, 278, 291, 297, 316, 324, 330, 353, 375]"
22,"[299, 308, 313, 330, 344, 355, 362, 377]"
23,"[295, 308, 322, 327, 329, 352, 353, 359]"
24,"[237, 254, 275, 286, 287, 304, 331]"
